column,field_group,definition,unit,formal_predictor,predictor_scope,used_for_grouping_or_lineage,used_for_fixed_alpha_calibration,used_for_evaluation_scope,boundary_note
AngZ_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngZ_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngZ_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Rate_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Rate_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Rate_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Rate_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Rate_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Rate_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Rate_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Rate_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Rate_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Rate_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Rate_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Rate_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Rate_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Rate_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Rate_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Rate_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngZ_Rate_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Rate_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngZ_Rate_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Rate_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngZ_Rate_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Rate_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngZ_Rate_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Rate_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Jerk_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Jerk_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Jerk_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Jerk_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Jerk_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Jerk_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Jerk_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Jerk_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
ODBA_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature ODBA_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
ODBA_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature ODBA_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
ODBA_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature ODBA_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
ODBA_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature ODBA_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
VeDBA_RMS_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature VeDBA_RMS_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
VeDBA_RMS_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature VeDBA_RMS_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
VeDBA_RMS_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature VeDBA_RMS_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
VeDBA_RMS_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature VeDBA_RMS_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Axis_Dominance_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Axis_Dominance_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Axis_Dominance_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Axis_Dominance_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Axis_Dominance_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Axis_Dominance_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Axis_Dominance_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Axis_Dominance_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Skewness_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Skewness_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Skewness_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Skewness_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Skewness_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Skewness_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Skewness_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Skewness_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Kurtosis_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Kurtosis_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Kurtosis_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Kurtosis_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Kurtosis_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Kurtosis_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Kurtosis_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Kurtosis_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Autocorr_Lag1_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Autocorr_Lag1_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Autocorr_Lag1_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Autocorr_Lag1_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Autocorr_Lag1_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Autocorr_Lag1_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Autocorr_Lag1_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Autocorr_Lag1_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Peak_Count_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Peak_Count_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Peak_Count_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Peak_Count_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Peak_Count_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Peak_Count_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Peak_Count_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Peak_Count_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XY_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XY_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XY_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XY_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XY_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XY_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XY_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XY_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XZ_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XZ_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XZ_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XZ_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XZ_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XZ_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_XZ_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_XZ_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_YZ_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_YZ_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_YZ_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_YZ_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_YZ_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_YZ_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Corr_YZ_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Corr_YZ_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Spectral_Entropy_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Spectral_Entropy_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Spectral_Entropy_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Spectral_Entropy_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Spectral_Entropy_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Spectral_Entropy_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Spectral_Entropy_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Spectral_Entropy_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Zero_Crossing_Rate_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Zero_Crossing_Rate_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Zero_Crossing_Rate_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Zero_Crossing_Rate_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Zero_Crossing_Rate_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Zero_Crossing_Rate_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Zero_Crossing_Rate_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Zero_Crossing_Rate_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Dominant_Frequency_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Dominant_Frequency_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Dominant_Frequency_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Dominant_Frequency_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Dominant_Frequency_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Dominant_Frequency_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Dominant_Frequency_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Dominant_Frequency_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Coefficient_of_Variation_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Coefficient_of_Variation_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Coefficient_of_Variation_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Coefficient_of_Variation_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Coefficient_of_Variation_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Coefficient_of_Variation_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Coefficient_of_Variation_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Coefficient_of_Variation_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Low_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Low_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Low_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Low_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Low_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Low_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Low_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Low_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Loco_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Loco_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Loco_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Loco_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Loco_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Loco_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_Loco_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_Loco_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_High_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_High_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_High_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_High_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_High_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_High_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Power_High_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Power_High_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Sample_Entropy_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Sample_Entropy_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Sample_Entropy_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Sample_Entropy_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Sample_Entropy_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Sample_Entropy_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Sample_Entropy_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Sample_Entropy_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Frac_Rest,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Frac_Rest.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
Frac_Moderate,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Frac_Moderate.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
Frac_Vigorous,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Frac_Vigorous.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
Frac_Lying,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Frac_Lying.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
Frac_HeadDown,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Frac_HeadDown.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
Active_Fraction,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Active_Fraction.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
StepFreq_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature StepFreq_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
LyingTransitions,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature LyingTransitions.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
HeadDownTransitions,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature HeadDownTransitions.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
data_count_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature data_count_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
cohort,identity_and_experimental_unit,"Identifier used to trace the animal, chamber, period, or experimental unit.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
phase_idx,phase_evaluation,Protocol phase: 0–1 initial adaptation/calibration-reference days; 2–3 fed measurement days; 4 fasting day.,dimensionless or categorical,no,not a formal predictor,no,yes,yes,"Post-adaptation evaluation includes phases 2–4 (2,470 windows); fixed-alpha calibration adjusts only phases 2–3 (1,718 windows), while phase 4 remains unchanged (752 windows)."
phase_label,phase_evaluation,"Phase/evaluation field defining initial 2 d, follow-up, or fasting scope.",dimensionless or categorical,yes,eligible in one or more locked confirmation branches,no,no,yes,
is_fasting,phase_evaluation,Binary indicator for phase-4 fasting windows.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,yes,"Phase-4 fasting windows are included in the 2,470-window post-adaptation evaluation but are not adjusted by individual calibration."
day_in_phase,phase_evaluation,"Phase/evaluation field defining initial 2 d, follow-up, or fasting scope.",dimensionless or categorical,yes,eligible in one or more locked confirmation branches,no,no,yes,
diet_code,treatment_audit,Diet-treatment label retained for bookkeeping; never entered as an ordinal or categorical predictor in the locked model.,dimensionless or categorical,no,not a formal predictor,no,no,no,audit only; excluded from every formal feature branch
feed_measurement,treatment_audit,Provenance label stating that feed values are planned/offered quantities rather than measured intake.,dimensionless or categorical,no,not a formal predictor,no,no,no,"planned/offered feed, not intake"
planned_feed_kg_day,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,kg per day offered,no,not a formal predictor,no,no,no,
planned_feed_g_meal,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,g per meal,no,not a formal predictor,no,no,no,
planned_feed_g_per_kg_bw,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,g kg^-1 body weight,no,not a formal predictor,no,no,no,
planned_feed_g_per_w075,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,g kg^-0.75,no,not a formal predictor,no,no,no,
n_windows,processing_or_audit,Analysis-panel field n_windows.,count,no,not a formal predictor,no,no,no,
feature_time,time_and_window,Window feature timestamp used in the audited alignment.,dimensionless or categorical,no,not a formal predictor,no,no,no,
experiment_date,grouping_and_time_audit,"Audit grouping/time field retained for lineage; formal outer evaluation groups by pig, not by date.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
strict_day_group,grouping_and_time_audit,"Audit grouping/time field retained for lineage; formal outer evaluation groups by pig, not by date.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
animal_day_group,grouping_and_time_audit,"Audit grouping/time field retained for lineage; formal outer evaluation groups by pig, not by date.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
day_group,grouping_and_time_audit,"Audit grouping/time field retained for lineage; formal outer evaluation groups by pig, not by date.",dimensionless or categorical,no,not a formal predictor,yes,no,no,
HP_per_W075,target,Model-fitting target HP_kcal divided by body weight^0.75.,kcal kg^-0.75 per 5-min equivalent,no,not a formal predictor,no,no,no,
is_adaptation,phase_evaluation,"Phase/evaluation field defining initial 2 d, follow-up, or fasting scope.",fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,yes,
is_formal,phase_evaluation,"Phase/evaluation field defining initial 2 d, follow-up, or fasting scope.",fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,yes,
planned_feed_available,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,fraction or binary indicator,yes,eligible only in feed-event confirmation branches,no,no,no,
planned_meal_g_per_w075,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,g kg^-0.75,no,not a formal predictor,no,no,no,
offered_feed_kg_day_if_fed,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,kg per day offered,no,not a formal predictor,no,no,no,
offered_feed_g_meal_if_fed,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,g per meal,no,not a formal predictor,no,no,no,
planned_meal_g_per_w075_if_fed,planned_feeding_and_protocol_timing,Planned/offered feed descriptor; it is not measured feed intake.,g kg^-0.75,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_history_known,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless or categorical,yes,eligible only in feed-event confirmation branches,no,no,no,
hours_since_last_meal_capped48,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,hour,yes,eligible only in feed-event confirmation branches,no,no,no,
last_meal_is_afternoon,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless or categorical,yes,eligible only in feed-event confirmation branches,no,no,no,
last_meal_is_morning,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless or categorical,yes,eligible only in feed-event confirmation branches,no,no,no,
fed_to_fasting_carryover_6h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless or categorical,yes,eligible only in feed-event confirmation branches,no,no,no,
hours_in_fasting,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,hour,yes,eligible only in feed-event confirmation branches,no,no,no,
hours_since_afternoon_meal_capped48,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,hour,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_afternoon_kernel_tau0p5h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_afternoon_kernel_tau1p5h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_afternoon_kernel_tau3p0h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_afternoon_kernel_tau6p0h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
hours_since_morning_meal_capped48,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,g per meal,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_morning_kernel_tau0p5h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_morning_kernel_tau1p5h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_morning_kernel_tau3p0h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
meal_morning_kernel_tau6p0h,planned_feeding_and_protocol_timing,Feature computed from prespecified protocol meal times; it is not a measured intake event.,dimensionless protocol-time kernel,yes,eligible only in feed-event confirmation branches,no,no,no,
premeal_n_bins,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",count,no,not a formal predictor,no,no,no,
premeal_HR_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",beats per minute,no,not a formal predictor,no,no,no,
delta_from_premeal_HR_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",beats per minute,no,not a formal predictor,no,no,no,
premeal_RR_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",ms,no,not a formal predictor,no,no,no,
delta_from_premeal_RR_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",ms,no,not a formal predictor,no,no,no,
premeal_ODBA_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",dimensionless or categorical,no,not a formal predictor,no,no,no,
delta_from_premeal_ODBA_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",dimensionless or categorical,no,not a formal predictor,no,no,no,
premeal_VeDBA_RMS_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",dimensionless or categorical,no,not a formal predictor,no,no,no,
delta_from_premeal_VeDBA_RMS_mean,premeal_sensor_sensitivity,"Premeal sensor or meal-sensor interaction retained for sensitivity analysis, not used by the locked confirmation branches.",dimensionless or categorical,no,not a formal predictor,no,no,no,
